distance,elevation,dhdt,error,v,smb
12600,45.82482135,-0.109600134,0.50467971,323.3658998,633.6183128
12750,46.00797105,-0.060071154,0.627515295,324.8766367,633.4025479
12900,46.19646241,-0.004620678,0.667726771,324.8766367,633.2864844
13050,46.40214353,0.048470291,0.613908205,324.8766367,632.4987339
13200,46.60137966,0.09039872,0.4726601,324.8766367,632.4796486
13350,46.7422018,0.11097136,0.361073757,327.962488,631.5984936
13500,46.81758572,0.109398734,0.340300636,327.9704791,631.5962524
13650,46.80609368,0.088270892,0.42572235,327.9704791,630.681112
13800,46.73487178,0.053338004,0.510900025,327.98452,630.6681132
13950,46.61694569,0.015665832,0.515597636,329.7672295,629.7875366
14100,46.4717338,-0.017880875,0.42113271,329.8948502,629.4634365
14250,46.30968123,-0.037940002,0.355156732,330.1363404,628.8501587
14400,46.15745363,-0.041851292,0.380762075,331.3310583,628.2493124
14550,46.0343145,-0.038875293,0.468433758,331.8684269,627.9254785
14700,46.0169594,-0.023268119,0.589948354,331.8684269,627.3217256
14850,46.06765207,-0.003963855,0.62,332.3956648,627.0042725
15000,46.15127241,0.004996472,0.599519282,334.0135903,626.9351856
15150,46.1905911,-0.001330717,0.574663548,334.0135903,626.0388794
15300,46.15282433,-0.021613091,0.54115771,334.0135903,625.982461
15450,45.95871449,-0.052360839,0.418623641,334.097385,625.0616455
15600,45.72774733,-0.072103422,0.283846537,335.2486872,625.0587678
15750,45.52109266,-0.073937864,0.23,335.2486872,624.7844849
15900,45.38363899,-0.061921596,0.228769667,335.2486872,624.0725098
16050,45.35138894,-0.044955984,0.205139318,335.6133708,623.7775082
16200,45.40577155,-0.031053181,0.159658404,337.2108887,623.0714722
16350,45.57078408,-0.020204102,0.165417107,337.6161141,622.7639634
16500,45.79138851,-0.005093203,0.276141751,337.6161141,622.1155093
16650,46.01118406,0.01800992,0.402987461,338.0766357,621.723759
16800,46.140958,0.042471215,0.424392034,338.993499,621.1417236
16950,46.14821472,0.055490999,0.427141349,338.993499,620.9031684
17100,46.0210606,0.056654986,0.493937073,339.3669525,620.1132813
17250,45.86736389,0.049765042,0.495737487,341.3751814,619.720643
17400,45.70357954,0.031682518,0.50874401,341.3751814,619.1921387
17550,45.56653477,0.006642379,0.564417624,341.7388601,618.2249379
17700,45.442184,-0.022838168,0.616982407,343.2880554,617.9725797
17850,45.28637136,-0.063399896,0.652962748,343.2880554,617.2230835
18000,45.15026648,-0.098280871,0.555138519,343.3577181,617.1159949
18150,45.0707999,-0.112955859,0.409301495,344.7770763,616.1641235
18300,45.05005431,-0.110802522,0.364121617,346.2251808,616.1052681
18450,45.11080257,-0.082530267,0.419455402,346.2251808,615.1952826
18600,45.18745587,-0.047181126,0.405136756,346.2756481,614.9551168
18750,45.21893697,-0.014722608,0.347845704,347.4384609,614.1610107
18900,45.19325084,0.002021093,0.301273907,348.5664018,613.8782409
19050,45.08725252,0.000825027,0.347383535,348.5664018,613.0756836
19200,44.97650738,-0.018584197,0.44923795,349.1385155,612.7398692
19350,44.94221239,-0.045146064,0.449297478,350.0293576,612.0628571
19500,44.96587917,-0.067949369,0.326567157,350.0293576,611.4589881
19650,45.02496884,-0.078075601,0.183867651,350.4608057,611.0394287
19800,45.06400719,-0.074065616,0.125425041,352.0621292,610.9674048
19950,45.06259056,-0.064272962,0.12,352.4047319,610.1578178
20100,45.03550149,-0.063716815,0.142706099,352.4047319,609.9283447
20250,45.03177638,-0.05775656,0.184765413,352.4047319,608.9016438
20400,45.08869588,-0.04473782,0.220867702,354.3571581,608.8062134
20550,45.20146358,-0.031939089,0.270098155,354.3571581,608.6614144
20700,45.32241852,-0.020401748,0.306160771,354.3571581,607.6730347
20850,45.43172787,-0.012732207,0.261183897,354.6234269,607.4331069
21000,45.45455305,-0.011497031,0.201302551,355.9365186,606.6307021
21150,45.3922983,-0.022512973,0.308243688,356.1874973,606.0661324
21300,45.25136564,-0.017298786,0.2171642,356.1874973,605.4773646
21450,45.07340441,-0.015676126,0.154026775,356.7765521,604.8590425
21600,44.90376525,-0.032804721,0.143496972,357.3844894,604.4190063
21750,44.77718013,-0.033825705,0.173537629,357.9979641,603.6705183
21900,44.75651371,-0.023823664,0.266969925,358.3421285,603.2506104
22050,44.81841633,-0.005246044,0.356156478,359.2030301,603.2506104
22200,44.97742254,0.020438816,0.398994041,359.3420623,602.1429318
22350,45.1630952,0.046035203,0.351349885,359.3420623,602.0716553
22500,45.29345987,0.062165228,0.256527685,360.2351282,601.1506368
22650,45.34855747,0.071912224,0.175591656,361.3451176,600.908807
22800,45.32288487,0.048141456,0.109495168,361.3566789,599.9190674
22950,45.26192772,0.104787884,0.10007087,361.3566789,599.9123097
23100,45.2060577,0.074392142,0.122354676,361.3666341,598.9355507
23250,45.15210654,0.066539587,0.245279922,362.8325694,598.6459615
23400,45.09007172,0.04596585,0.374745739,363.5707879,597.7513428
23550,45.01214068,0.01468388,0.459573974,363.6015267,597.7160012
23700,44.94190757,-0.017910289,0.423888164,364.627253,596.5366821
23850,44.91378805,-0.041272934,0.304550682,364.627253,596.4733426
24000,44.93371539,-0.04993156,0.205130466,364.627253,595.4167386
24150,44.99516635,-0.047192347,0.190955328,364.6815897,594.5391885
24300,45.05520381,-0.043117628,0.21727119,365.6350846,594.1712878
24450,45.06034002,-0.048647924,0.295110048,366.0771659,593.3723145
24600,44.97998635,-0.06657474,0.380667299,366.5090732,593.2459061
24750,44.84690737,-0.087702033,0.357773078,366.6912625,592.2912551
24900,44.69436247,-0.100783514,0.27523633,366.6912625,592.1338501
25050,44.56991377,-0.099390736,0.250692845,366.6912625,591.3593541
25200,44.47418379,-0.088720359,0.259007772,368.3044994,590.9552323
25350,44.39447822,-0.072660129,0.23367866,368.4822014,589.9489525
25500,44.30717505,-0.061004232,0.20969399,368.4822014,589.9122703
25650,44.19386864,-0.080976712,0.130058221,368.4833768,588.6539307
25800,44.04968214,-0.057036193,0.18986892,369.6935216,588.6368807
25950,43.89875179,-0.060314823,0.179112448,369.714698,587.6433228
26100,43.81565883,-0.062997428,0.170025973,371.1481498,587.1756599
26250,43.85144197,-0.053671278,0.170383103,372.1449422,586.5979216
26400,43.91586891,-0.038337531,0.171340001,373.024674,585.9647766
26550,43.99717081,-0.021667327,0.173124533,373.7265056,585.3174809
26700,44.08357882,-0.008331802,0.175964568,374.189597,584.6972907
26850,44.16333827,-0.003009532,0.180154969,374.3531684,584.1455563
27000,44.23708907,-0.014786453,0.263307506,374.3531684,583.4851473
27150,44.28414433,-0.033242529,0.33484254,374.3531684,582.867981
27300,44.32540803,-0.05684817,0.336486406,374.7544944,582.4306903
27450,44.42229934,-0.066668483,0.314757996,375.5410864,581.5736084
27600,44.58257235,-0.061459125,0.380792611,376.1595752,581.1225126
27750,44.73176956,-0.039926571,0.452511219,376.7175188,580.4179846
27900,44.79172506,-0.017235968,0.424933027,377.3088972,579.6262959
28050,44.76436722,-0.007965144,0.361342117,377.6987466,579.2903442
28200,44.61596184,-0.011979014,0.357342132,377.6987466,578.6378397
28350,44.41672844,-0.028467929,0.34549004,378.3554577,578.0654024
28500,44.21879639,-0.046044137,0.31445764,379.2538606,577.0331374
28650,44.06522523,-0.063184667,0.262538461,379.2734632,576.9984741
28800,43.98642108,-0.074856574,0.228609999,379.2987517,575.6807861
28950,43.96670314,-0.085424013,0.216200601,380.1889596,575.6807861
29100,43.97267642,-0.100807408,0.20171544,380.1889596,575.5809687
29250,43.95986599,-0.098672734,0.264495575,380.2521177,574.6022702
29400,43.8861258,-0.098597503,0.433988774,381.2174023,574.1525639
29550,43.79143429,-0.1039815,0.436830784,382.1003787,573.3739624
29700,43.75092708,-0.103851688,0.400969455,382.1003787,572.7883192
29850,43.77318925,-0.095861227,0.327144736,382.1003787,572.0432739
30000,43.84378797,-0.084832148,0.239263975,382.5177047,571.6133293
30150,43.89207822,-0.077472287,0.182579089,383.7710817,570.8957823
30300,43.91283523,-0.076,0.163667743,384.1971659,570.2151087
30450,43.94734147,-0.075422035,0.16,384.712052,569.723938
30600,44.04686248,-0.07130005,0.170455342,385.2992474,569.0224269
30750,44.18704699,-0.054865091,0.165274355,385.2992474,568.382019
30900,44.31833199,-0.053176921,0.15545128,385.9907694,567.91198
31050,44.41230394,-0.03579321,0.154095905,388.0534279,567.2012162
31200,44.44583873,-0.038339181,0.178201615,388.5173715,566.3348171
31350,44.43777348,-0.04295763,0.224739306,388.5173715,566.0526123
31500,44.41787361,-0.031547962,0.23,388.5173715,564.975194
31650,44.38975509,-0.023561993,0.145220614,389.7561664,564.7010498
31800,44.34417233,-0.023621724,0.270502094,389.9785698,563.9243891
31950,44.31786989,-0.030959344,0.324992115,389.9785698,563.4237466
32100,44.3240878,-0.04673475,0.366715674,389.2585183,562.4555812
32250,44.30017581,-0.067988413,0.37,389.1658477,562.3641357
32400,44.23852017,-0.086017442,0.326091844,389.1914805,561.0046997
32550,44.15589657,-0.096793991,0.273846168,390.3148191,561.0046997
32700,44.08158709,-0.093886231,0.300205696,390.8177404,560.205532
32850,44.07353686,-0.075821235,0.353848522,391.1725102,559.6417847
33000,44.11730183,-0.052966709,0.335904954,391.1725102,559.153653
33150,44.20925403,-0.03371881,0.236779112,391.6002659,558.4531787
33300,44.28757689,-0.03,0.192132596,393.0628699,557.6410495
33450,44.32602639,-0.034556771,0.21869819,393.4818035,557.2971191
33600,44.33604866,-0.049251859,0.248144881,393.4818035,556.4061514
33750,44.32838258,-0.062320003,0.235637636,394.3024546,555.9287109
33900,44.3254629,-0.064,0.234943488,395.728932,555.2763467
34050,44.35551584,-0.05660273,0.288482929,395.8982734,554.7037092
34200,44.43207491,-0.038551619,0.328109263,395.8982734,553.7226808
34350,44.50091431,-0.018604367,0.27990022,398.352662,553.5823975
34500,44.48673649,-0.014102453,0.291963016,398.8376739,552.3627104
34650,44.41079797,-0.022125609,0.3435417,398.8376739,552.2102051
34800,44.30312006,-0.037089234,0.359760401,402.1277242,551.3397128
34950,44.20114865,-0.052558774,0.316641039,402.2979321,550.8945088
35100,44.1300754,-0.063987674,0.251469307,402.2979321,549.8662094
35250,44.1579735,-0.063646586,0.202462421,402.3425285,549.8382749
35400,44.28605827,-0.045477639,0.312703916,403.6271657,548.8212297
35550,44.42751585,-0.02683863,0.369145444,403.7213789,548.3329072
35700,44.51998384,-0.011795296,0.341709944,404.7043967,547.5218506
35850,44.54955953,-0.001171452,0.248826835,404.9035672,547.3154656
36000,44.5362034,0.003858592,0.201965719,406.0302713,546.1479492
36150,44.51045703,0.007948331,0.232210466,406.0302713,545.9898378
36300,44.54240412,0.02120634,0.278175954,406.2918365,545.0296028
36450,44.5628054,0.031712084,0.297404995,407.9130378,544.3693732
36600,44.53172511,0.031418631,0.325742736,408.5073217,543.8096924
36750,44.46583,0.022308742,0.34,408.5073217,543.6923273
36900,44.40771377,0.009725499,0.323560329,409.0209431,542.8247222
37050,44.40970588,0.005220462,0.278856542,409.4917666,542.4362793
37200,44.44700413,0.005791273,0.27,409.4917666,541.349438
37350,44.45680184,-0.003136862,0.187768241,410.4894869,541.0627441
37500,44.4365917,0.000837737,0.267079271,411.8792153,540.1359442
37650,44.38245259,-0.011121468,0.27,411.904346,540.1048584
37800,44.3285362,-0.028321818,0.260169924,411.904346,538.7568827
37950,44.34380817,-0.033958309,0.295469938,413.0744937,538.7335815
38100,44.41058179,-0.021835338,0.400878135,413.0948865,537.773714
38250,44.45915077,-0.000306767,0.469965418,414.6298631,537.3442994
38400,44.48989462,0.026401918,0.435925597,414.6437822,536.4113159
38550,44.46546998,0.044782528,0.29030432,415.8040228,536.3231393
38700,44.38568562,0.046045165,0.267951795,415.8040228,535.0437012
38850,44.30910937,0.021476437,0.40376005,415.8040228,534.9197102
39000,44.29927542,-0.000844974,0.421899861,416.1725265,534.0966187
39150,44.40594335,-0.012827369,0.339341328,418.2346014,533.7789035
39300,44.51411221,-0.017878342,0.31,418.2346014,532.7327881
39450,44.53679757,-0.018594626,0.308755131,418.4547905,532.5755615
39600,44.42834405,-0.017,0.292045374,419.3209531,531.6106376
39750,44.2260931,-0.019481133,0.274077188,419.3209531,530.7715721
39900,43.98013943,-0.029170515,0.262372605,420.0811087,530.4307861
40050,43.86676916,-0.038444539,0.264238336,421.7546439,529.8795473
40200,43.90980208,-0.039294104,0.300491972,422.0517914,529.2577901
40350,44.10751254,-0.028812958,0.434896996,422.0517914,528.4567781
40500,44.37915349,-0.00256364,0.579336494,422.0517914,528.1384277
40650,44.60522866,0.022562705,0.523861041,423.1563167,526.8529797
40800,44.67198661,0.039995239,0.380444027,424.5218641,526.7857666
40950,44.57646371,0.037318453,0.361879078,424.5222632,525.9058685
41100,44.44531532,0.028027344,0.310147885,425.5815212,525.4550364
41250,44.44683107,0.038323872,0.386006214,425.5853392,524.5132855
41400,44.57510915,0.063473724,0.487336722,425.5853392,524.4759914
41550,44.68687921,0.072635712,0.564882653,425.6725492,523.1652222
41700,44.71479735,0.052045758,0.765937014,428.1976691,523.1618962
41850,44.61183263,0.007934998,0.885852222,428.1976691,522.1592341
42000,44.40058765,-0.036461128,0.72877608,428.1976691,521.5412101
42150,44.21083126,-0.05929116,0.489121259,428.4524682,520.9069214
42300,44.09018691,-0.064637154,0.42,429.6838448,520.8110692
42450,44.03065382,-0.058118435,0.423514277,430.4418378,519.8843327
42600,44.07747441,-0.04116356,0.532301488,430.7626474,519.1932203
42750,44.30188518,-0.011395692,0.765405724,431.4248344,518.6613159
42900,44.52622723,0.027169157,0.789913812,431.4248344,518.019004
43050,44.63153001,0.052313278,0.712366007,431.4248344,517.3341675
43200,44.60959645,0.048675969,0.71558523,431.9023735,516.8195673
43350,44.43609181,0.003125342,0.886030819,433.3424819,516.4291382
43500,44.19173331,-0.071580628,0.894428066,433.5518997,515.4564472
43650,44.07478126,-0.127298315,0.751739511,433.5518997,515.1096802
43800,44.06643504,-0.132204888,0.733662972,434.1264466,514.2633921
43950,44.06235909,-0.109004932,0.842182503,435.5227223,513.7945557
44100,44.06349372,-0.071716265,0.804408165,435.8168471,513.595915
44250,44.09433197,-0.035048978,0.511523963,435.8168471,512.719042
44400,44.10825113,-0.019651642,0.285194619,436.3804618,512.4838867
44550,44.10427425,-0.024444885,0.200958953,438.0637776,511.6545961
44700,44.08382411,-0.037697694,0.27948833,438.4726468,511.177948
44850,44.0248995,-0.063187029,0.507786344,438.4726468,510.884953
45000,44.00285354,-0.083977865,0.586939045,438.4863427,509.8768921
45150,44.12826132,-0.077308287,0.805555469,440.0322151,509.8377457
