distance,surface,bed
9400,1901.551222,565.3170834
9450,1900.779732,563.3175605
9500,1900.018247,561.2925323
9550,1899.259182,559.2491571
9600,1898.510099,557.2567373
9650,1897.764055,555.3544211
9700,1897.023456,553.6172721
9750,1896.288361,551.9917956
9800,1895.558104,550.4213588
9850,1894.857207,548.8366924
9900,1894.185337,547.1193236
9950,1893.565258,545.1911907
10000,1892.994406,543.0848562
10050,1892.45434,540.8526577
10100,1891.937117,538.4888136
10150,1891.450513,535.9798924
10200,1890.984781,533.3219519
10250,1890.528469,530.5660686
10300,1890.070104,527.666502
10350,1889.614924,524.6833185
10400,1889.160894,521.6462814
10450,1888.708856,518.6290659
10500,1888.262885,515.6281561
10550,1887.843443,512.7457614
10600,1887.471122,510.033749
10650,1887.146615,507.4776315
10700,1886.85358,505.0626574
10750,1886.580234,502.8323257
10800,1886.313282,500.7078207
10850,1886.068529,498.66863
10900,1885.84949,496.6980394
10950,1885.650369,494.8204814
11000,1885.452021,493.0358901
11050,1885.245907,491.3513539
11100,1885.031314,489.7697559
11150,1884.806377,488.3186656
11200,1884.603481,486.9988984
11250,1884.440917,485.784561
11300,1884.333335,484.6813339
11350,1884.263163,483.682261
11400,1884.196167,482.7732645
11450,1884.115075,481.9565363
11500,1884.011544,481.234521
11550,1883.886928,480.5698659
11600,1883.74116,479.9589933
11650,1883.605971,479.3964088
11700,1883.498192,478.8905943
11750,1883.414839,478.4299031
11800,1883.336031,477.9691135
11850,1883.242075,477.5195234
11900,1883.149127,477.0815362
11950,1883.080026,476.5815326
12000,1883.040612,475.9795661
12050,1883.014695,475.2907848
12100,1882.990537,474.5463825
12150,1882.947227,473.7448998
12200,1882.869414,472.9482845
12250,1882.75228,472.1926082
12300,1882.608569,471.4812208
12350,1882.473349,470.8339019
12400,1882.357536,470.2640313
12450,1882.258761,469.7624152
12500,1882.162466,469.2985237
12550,1882.065067,468.8722004
12600,1881.967518,468.5044968
12650,1881.871658,468.1955475
12700,1881.778879,467.9465682
12750,1881.687651,467.6817648
12800,1881.580397,467.4117937
12850,1881.439389,467.1210303
12900,1881.262267,466.7857963
12950,1881.067714,466.4518458
13000,1880.821839,466.117874
13050,1880.487644,465.7888197
13100,1880.051581,465.453242
13150,1879.528143,465.1118139
13200,1879.004104,464.7813505
13250,1878.492263,464.4658432
13300,1877.998127,464.1696434
13350,1877.516575,463.8894926
13400,1877.051327,463.594856
13450,1876.589894,463.2651627
13500,1876.107612,462.8955528
13550,1875.592317,462.4720541
13600,1875.042235,461.9930087
13650,1874.47523,461.475882
13700,1873.897841,460.9506054
13750,1873.305727,460.4154593
13800,1872.698323,459.9530628
13850,1872.095974,459.6036923
13900,1871.50294,459.3766783
13950,1870.924103,459.2775135
14000,1870.358543,459.2976148
14050,1869.806554,459.4180476
14100,1869.270425,459.6482828
14150,1868.723637,459.9916603
14200,1868.137213,460.5073546
14250,1867.495932,460.99987
14300,1866.819517,461.4761502
14350,1866.143522,461.9399189
14400,1865.489295,462.3984954
14450,1864.857116,462.8512617
14500,1864.253086,463.2995794
14550,1863.669562,463.7409502
14600,1863.111789,464.1588193
14650,1862.535107,464.4918888
14700,1861.931069,464.6508193
14750,1861.304693,464.7398309
14800,1860.672212,464.7780008
14850,1860.053198,464.7825789
14900,1859.430273,464.754316
14950,1858.798074,464.7699234
15000,1858.15961,464.8534838
15050,1857.531438,465.0395669
15100,1856.916382,465.3454436
15150,1856.310111,465.7625606
15200,1855.718608,466.2549316
15250,1855.136253,466.8517768
15300,1854.559701,467.4653777
15350,1853.967766,468.0409588
15400,1853.361534,468.5507252
15450,1852.75165,469.0024785
15500,1852.191627,469.4123662
15550,1851.685541,469.7516601
15600,1851.226452,469.9884754
15650,1850.774221,470.0813835
15700,1850.302737,470.0385058
15750,1849.802277,469.963437
15800,1849.290939,469.988013
15850,1848.775677,470.2235877
15900,1848.268018,470.6247507
15950,1847.749338,471.089934
16000,1847.259122,471.6535335
16050,1846.851363,472.2948085
16100,1846.51833,473.004516
16150,1846.251028,473.7792541
16200,1845.98618,474.6092051
16250,1845.726021,475.4785543
16300,1845.459264,476.3885075
16350,1845.194277,477.3755197
16400,1844.961252,478.4534913
16450,1844.773608,479.6576153
16500,1844.637425,480.9886435
16550,1844.511862,482.4050867
16600,1844.387478,483.8765995
16650,1844.248328,485.4215725
16700,1844.114703,487.0260226
16750,1843.989401,488.7010476
16800,1843.871019,490.3899363
16850,1843.744107,492.064215
16900,1843.602022,493.7183184
16950,1843.443635,495.3594156
17000,1843.274617,496.9850793
17050,1843.113308,498.6236649
17100,1842.968754,500.2685148
17150,1842.856881,501.8932808
17200,1842.766009,503.4187542
17250,1842.670889,505.030125
17300,1842.545635,506.6911741
17350,1842.381946,508.3917123
17400,1842.185295,510.1489625
17450,1841.978742,511.9832365
17500,1841.778601,513.9052415
17550,1841.587835,515.9479594
17600,1841.402322,518.1137139
17650,1841.204734,520.4343618
17700,1841.002649,522.9779681
17750,1840.804916,525.5887648
17800,1840.611681,528.2385933
17850,1840.412357,530.8748214
17900,1840.185614,533.4999058
17950,1839.915382,536.0930221
18000,1839.594807,538.6550438
18050,1839.230089,541.1694846
18100,1838.838975,543.6439289
18150,1838.44233,546.0869758
18200,1838.047439,548.447767
18250,1837.653371,550.6829733
18300,1837.247306,552.8399404
18350,1836.829746,554.8889416
18400,1836.431843,556.8882493
18450,1836.041602,558.9180948
18500,1835.622725,560.9695989
18550,1835.135902,563.1062706
18600,1834.569069,565.3757606
18650,1833.973955,567.7677253
18700,1833.369716,570.2605916
18750,1832.766884,572.7415524
18800,1832.167509,575.083864
18850,1831.584201,577.157499
18900,1830.996296,579.0498293
18950,1830.411217,580.757727
19000,1829.803361,582.278915
19050,1829.154365,583.6684386
19100,1828.453868,584.9652716
19150,1827.685881,586.1759561
19200,1826.844703,587.3244517
19250,1825.974867,588.4406165
19300,1825.135062,589.5740753
19350,1824.33271,590.7049205
19400,1823.536207,591.8416016
19450,1822.692986,592.9610025
19500,1821.80179,594.0852425
19550,1820.902485,595.24106
19600,1819.999929,596.4146269
19650,1819.092718,597.5057133
19700,1818.189986,598.424744
19750,1817.236719,599.1934194
19800,1816.218048,599.8290749
19850,1815.145745,600.3621569
19900,1814.064959,600.839945
19950,1812.960006,601.2630602
20000,1811.756492,601.5931368
20050,1810.431964,601.7940177
20100,1808.984585,601.857221
20150,1807.54834,601.8692899
20200,1806.16025,601.8687379
20250,1804.908811,601.8667189
20300,1803.773379,601.8852328
20350,1802.719174,601.9202868
20400,1801.713162,601.9389235
20450,1800.702759,601.9033683
20500,1799.666079,601.8025589
20550,1798.613214,601.6188621
20600,1797.556654,601.3656706
20650,1796.452993,601.0326008
20700,1795.224859,600.6075929
20750,1793.886398,600.1412835
20800,1792.47708,599.6521727
20850,1791.087885,599.1819356
20900,1789.722223,598.7360895
20950,1788.379395,598.3211346
21000,1787.088105,597.9498575
21050,1785.844829,597.6182601
21100,1784.622086,597.2934888
21150,1783.389346,596.9404141
21200,1782.137166,596.588957
21250,1780.870591,596.2581823
21300,1779.616112,595.9702123
21350,1778.371865,595.7828991
21400,1777.105759,595.6331379
21450,1775.817887,595.4482265
21500,1774.509151,595.2230789
21550,1773.205398,594.9036534
21600,1771.910882,594.4391198
21650,1770.623221,593.8250467
21700,1769.351706,593.0915354
21750,1768.110316,592.3098192
21800,1766.865958,591.4857687
21850,1765.609657,590.6284094
21900,1764.320223,589.7413453
21950,1763.04254,588.9163383
22000,1761.773335,588.1448452
22050,1760.533323,587.3967579
22100,1759.3214,586.6737927
22150,1758.153257,585.9450277
22200,1757.055192,584.6968912
22250,1756.058353,583.4883641
22300,1755.055286,582.2457137
22350,1753.983894,580.9501035
22400,1752.851239,579.5672824
22450,1751.710352,578.1193867
22500,1750.576868,576.5613576
22550,1749.442971,574.9101453
22600,1748.334173,573.2122389
22650,1747.234461,571.5503007
22700,1746.167751,570.0337937
22750,1745.148329,568.6013701
22800,1744.216214,567.2847753
22850,1743.375178,566.0630986
22900,1742.583111,564.8879201
22950,1741.851194,563.7635644
23000,1741.217093,562.7032802
23050,1740.691893,561.7101756
23100,1740.269017,560.7917189
23150,1739.836265,559.8668317
23200,1739.326563,558.9034705
23250,1738.731554,557.8969216
23300,1738.102777,556.8722953
23350,1737.477256,555.8633124
23400,1736.878516,554.8993901
23450,1736.274593,553.9889285
23500,1735.67768,553.1930588
23550,1735.088105,552.4981093
23600,1734.498822,551.8160554
23650,1733.963015,551.1690353
23700,1733.53406,550.5674887
23750,1733.221049,549.9731516
23800,1732.968119,549.3632775
23850,1732.708493,548.6955328
23900,1732.441075,547.9585445
23950,1732.166058,547.1194366
24000,1731.881757,546.1671116
24050,1731.57391,545.1014104
24100,1731.253263,543.9394096
24150,1730.929393,542.7258324
24200,1730.586676,541.463333
24250,1730.220765,540.2085559
24300,1729.821839,538.9803878
24350,1729.412714,537.8117748
24400,1728.980301,536.7561507
24450,1728.518907,535.8283312
24500,1728.030588,535.0064402
24550,1727.541291,534.2682303
24600,1727.064585,533.6237446
24650,1726.569674,533.0276969
24700,1726.04471,532.4670226
24750,1725.482688,531.9064965
24800,1724.946921,531.3709907
24850,1724.432945,530.823005
24900,1723.93649,530.2138076
24950,1723.436916,529.5759531
25000,1722.954746,528.9417481
25050,1722.499069,528.3061558
25100,1722.0167,527.6514007
25150,1721.490195,527.0704506
25200,1720.883853,527.0467379
25250,1720.18468,527.025974
25300,1719.473711,527.0340881
25350,1718.78641,527.0303053
25400,1718.121745,527.009055
25450,1717.478209,526.9520096
25500,1716.852927,526.8590401
25550,1716.222999,526.7408353
25600,1715.569403,526.586312
25650,1714.881228,526.3848315
25700,1714.184057,526.1798518
25750,1713.503726,525.9974045
25800,1712.846796,525.8409877
25850,1712.18522,525.7125602
25900,1711.50605,525.6065222
25950,1710.811753,525.5266907
26000,1710.178064,525.5285035
26050,1709.58973,525.6152392
26100,1709.044969,525.788259
26150,1708.507528,526.0222476
26200,1707.978209,526.3092191
26250,1707.434433,526.6419929
26300,1706.829771,526.9992877
26350,1706.164802,527.3532968
26400,1705.457586,527.6899145
26450,1704.775218,528.0276545
26500,1704.102992,528.3035356
26550,1703.431372,528.5325996
26600,1702.738082,528.8596106
26650,1702.055879,529.2694271
26700,1701.406886,529.7296248
26750,1700.769216,530.3658999
26800,1700.124767,531.1411903
26850,1699.44525,532.0750826
26900,1698.72842,533.2349305
26950,1697.966049,534.6904346
27000,1697.161843,536.4596434
27050,1696.335698,538.4982579
27100,1695.524379,540.7832096
27150,1694.778512,543.3856334
27200,1694.105911,546.2095256
27250,1693.480661,549.1598073
27300,1692.855349,552.2814071
27350,1692.263185,555.6255537
